Id,listing_id,listing_date,sale_date,is_renovated,amenity_score,OverallQual,OverallCond,GrLivArea,TotalBsmtSF,LotArea,property_age,years_since_remodel,total_baths,GarageCars,Fireplaces,dist_school_km,dist_hospital_km,dist_transit_km,renovation_cost_usd,local_interest_rate_pct,listing_month,Neighborhood,BldgType,HouseStyle,ExterQual,KitchenQual,CentralAir,sale_price,sale_price_market_adjusted,is_monitoring_stream
131,L-000131,2005-08-17,2006-05-05,0,33.2,7,6,2157,924,14200,40,40,2.5,2,2,3.47,1.63,1.62,0.0,6.26,8,NAmes,1Fam,2Story,TA,Gd,Y,226000,226000,0
198,L-000198,2005-10-07,2006-03-22,1,39.9,8,4,3112,1360,25419,88,16,3.5,2,1,3.02,1.69,1.42,161300.0,6.26,10,NAmes,1Fam,2Story,Gd,Gd,Y,235000,235000,0
665,L-000665,2005-11-12,2006-01-20,1,36.7,8,5,2097,2077,20896,1,0,2.5,3,1,1.42,2.84,2.86,50800.0,6.26,11,Somerst,1Fam,1Story,Gd,Ex,Y,423000,423000,0
1041,L-001041,2005-11-19,2006-01-21,1,39.7,5,4,1803,1134,13125,49,6,3.0,2,1,1.11,2.45,3.59,59100.0,6.26,11,Sawyer,1Fam,1Story,TA,TA,Y,155000,155000,0
186,L-000186,2005-11-23,2006-06-13,1,66.0,10,9,3608,1107,22950,114,13,2.5,3,2,0.55,3.63,0.4,109400.0,6.26,11,OldTown,1Fam,2.5Fin,Gd,Ex,Y,475000,475000,0
997,L-000997,2005-11-28,2006-01-19,0,30.3,5,6,1050,1050,10659,45,45,2.0,1,0,3.17,2.24,2.33,0.0,6.26,11,NAmes,1Fam,1Story,TA,TA,Y,136500,136500,0
586,L-000586,2005-12-01,2006-03-10,1,27.5,8,5,2028,1868,11443,1,0,3.0,3,2,2.77,3.68,3.13,93400.0,6.26,12,Timber,1Fam,1Story,Gd,Gd,Y,369900,369900,0
546,L-000546,2005-12-02,2006-02-02,0,21.2,7,5,2183,1204,13837,18,18,2.5,3,0,4.39,4.61,4.65,0.0,6.26,12,NWAmes,1Fam,1.5Fin,Gd,Gd,Y,229000,229000,0
142,L-000142,2005-12-02,2006-01-04,0,27.0,7,5,1734,1734,11645,1,1,3.0,2,0,3.65,3.25,2.22,0.0,6.26,12,CollgCr,1Fam,1Story,Gd,Gd,Y,260000,260000,0
4,L-000004,2005-12-09,2006-02-07,1,35.9,7,5,1717,756,9550,91,36,2.0,3,1,2.38,0.91,7.19,85400.0,6.26,12,Crawfor,1Fam,2Story,TA,Gd,Y,140000,140000,0
811,L-000811,2005-12-11,2006-01-09,1,23.8,6,6,1309,1040,10140,32,7,2.5,2,1,3.79,4.36,3.23,44600.0,6.26,12,NWAmes,1Fam,1Story,TA,Gd,Y,181000,181000,0
303,L-000303,2005-12-19,2006-01-13,1,29.0,7,5,1541,1541,13704,5,4,2.0,3,1,3.35,2.31,2.68,39000.0,6.26,12,CollgCr,1Fam,1Story,Gd,Gd,Y,205000,205000,0
893,L-000893,2005-12-21,2006-02-16,1,42.4,6,8,1068,1059,8414,43,3,1.5,1,0,0.85,2.61,3.98,33000.0,6.26,12,Sawyer,1Fam,1Story,TA,TA,Y,154500,154500,0
1034,L-001034,2005-12-22,2006-02-06,0,31.5,7,5,1654,1654,8125,4,4,3.0,3,0,2.53,2.23,2.95,0.0,6.26,12,CollgCr,1Fam,1Story,Gd,Gd,Y,230000,230000,0
170,L-000170,2005-12-23,2006-01-26,0,28.2,8,6,1707,1686,16669,25,25,2.5,2,1,2.75,2.76,4.08,0.0,6.26,12,Timber,1Fam,1Story,Gd,TA,Y,228000,228000,0
1305,L-001305,2005-12-24,2006-04-18,0,35.2,7,5,1708,976,3363,2,2,2.0,2,0,2.01,6.39,2.04,0.0,6.26,12,Edwards,TwnhsE,2Story,Gd,Gd,Y,130000,130000,0
412,L-000412,2005-12-25,2006-01-16,0,27.6,5,5,1056,1056,34650,51,51,2.0,2,0,3.52,2.08,4.21,0.0,6.26,12,Gilbert,2fmCon,1Story,TA,TA,N,145000,145000,0
1405,L-001405,2005-12-28,2006-01-10,1,60.7,3,4,1214,672,10410,91,56,1.0,3,0,0.53,5.17,0.32,16800.0,6.26,12,OldTown,1Fam,1.5Fin,TA,TA,Y,105000,105000,0
371,L-000371,2005-12-31,2006-01-14,0,30.3,6,5,1664,953,8121,6,6,2.5,2,1,3.59,1.74,2.69,0.0,6.26,12,Gilbert,1Fam,2Story,TA,TA,Y,172400,172400,0
603,L-000603,2006-01-01,2006-02-15,0,37.9,8,5,1915,908,10041,14,14,3.5,2,1,1.73,1.54,3.18,0.0,6.26,1,SawyerW,1Fam,2Story,Gd,Gd,Y,220000,220000,0
294,L-000294,2006-01-02,2006-03-05,1,32.4,7,7,2263,795,16659,29,12,3.5,2,1,4.33,5.15,2.86,50900.0,6.26,1,NWAmes,1Fam,2Story,TA,Gd,Y,235000,235000,0
949,L-000949,2006-01-04,2006-02-10,0,31.0,7,5,1776,936,14006,4,4,2.5,2,1,2.71,2.44,2.44,0.0,6.26,1,CollgCr,1Fam,2Story,Gd,Gd,Y,192500,192500,0
256,L-000256,2006-01-05,2006-02-23,0,29.6,7,5,2291,975,8738,7,7,2.5,2,1,4.13,1.55,2.91,0.0,6.26,1,Gilbert,1Fam,2Story,Gd,Gd,Y,230000,230000,0
160,L-000160,2006-01-25,2006-03-23,1,30.0,7,5,2462,1392,19378,1,0,3.5,2,1,3.88,1.55,3.01,71600.0,6.26,1,Gilbert,1Fam,2Story,Gd,Gd,Y,320000,320000,0
223,L-000223,2006-01-25,2006-02-22,0,23.8,6,6,1552,713,11475,31,31,3.5,2,1,4.21,3.7,3.15,0.0,6.26,1,NWAmes,1Fam,2Story,TA,TA,Y,179900,179900,0
884,L-000884,2006-01-29,2006-03-02,1,42.2,4,5,2230,795,6204,94,56,2.0,1,0,2.14,0.66,2.83,46400.0,6.26,1,SWISU,1Fam,2.5Fin,Gd,TA,N,118500,118500,0
1168,L-001168,2006-01-31,2006-02-24,0,28.3,6,5,1671,959,10852,6,6,3.5,2,1,5.2,1.26,4.11,0.0,6.26,1,Gilbert,1Fam,2Story,TA,TA,Y,173000,173000,0
155,L-000155,2006-01-31,2006-03-08,1,61.6,6,5,1200,1200,11340,83,56,1.0,1,0,0.47,4.21,0.45,40100.0,6.26,1,OldTown,1Fam,1Story,TA,TA,Y,125000,125000,0
1239,L-001239,2006-02-01,2006-03-01,0,32.1,6,5,1141,1141,13072,1,1,1.5,2,0,2.34,1.98,3.97,0.0,6.23,2,SawyerW,1Fam,1Story,Gd,TA,Y,142500,142500,0
146,L-000146,2006-02-02,2006-04-08,1,36.3,6,5,1709,970,2522,2,0,2.0,2,0,2.17,4.82,1.7,58300.0,6.23,2,Edwards,Twnhs,2Story,Gd,Gd,Y,130000,130000,0
